"avatarThumbnail","cid","createTime","createTimeISO","detailedMentions/0/nickName","detailedMentions/0/profileUrl","detailedMentions/0/secUid","detailedMentions/0/userId","detailedMentions/1/nickName","detailedMentions/1/profileUrl","detailedMentions/1/secUid","detailedMentions/1/userId","detailedMentions/2/nickName","detailedMentions/2/profileUrl","detailedMentions/2/secUid","detailedMentions/2/userId","detailedMentions/3/nickName","detailedMentions/3/profileUrl","detailedMentions/3/secUid","detailedMentions/3/userId","diggCount","input","likedByAuthor","mentions/0","mentions/1","mentions/2","mentions/3","pinnedByAuthor","repliesToId","replyCommentTotal","submittedVideoUrl","text","uid","uniqueId","videoWebUrl"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/d488e5627b2f2d7ab025a50c4756fcec~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=85933985&x-expires=1768554000&x-signature=N%2FQybsPcUj9fKC%2B0E78fduMFjio%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7547568441046811399","1757305224","2025-09-08T04:20:24.000Z",,,,,,,,,,,,,,,,,"41","https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472","true",,,,,"false",,"5","https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472","hnhu bả ở mỹ ( k bt nên hỏi )","7525403625427731461","anhthudethh","https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472"
"https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/727e4115081c1abb60faa4dc3f0e1d93~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=b2fe8bc7&x-expires=1768554000&x-signature=r4m3g1ZcRAeJr%2FgclI44Yl%2F%2Fcs0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7566800297545548545","1761783010","2025-10-30T00:10:10.000Z",,,,,,,,,,,,,,,,,"2","https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472","false",,,,,"false",,"0","https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472","Chỗ bn nhìn quen lắm , quán trà sữa phúc long ở California,san jose khu vn town đk🥰","6893072997969970177","kilua_1970","https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472"
"https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/167ba280beb75f1a3f90fad061697dae~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=22430f46&x-expires=1768554000&x-signature=EZg7ZAroIxSfQdPI%2FTUFfZA6PXI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7548495730732106526","1757521170","2025-09-10T16:19:30.000Z",,,,,,,,,,,,,,,,,"3","https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472","true",,,,,"false",,"1","https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472","Omg this is true 😅","6999268806091129862","thislinhlife","https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/8193f0075000eeaab17c5aff8180c468~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=634b6f26&x-expires=1768554000&x-signature=jFRb4CtPNySq9HcDnnQtkYBF%2F14%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7550901326278329105","1758081236","2025-09-17T03:53:56.000Z",,,,,,,,,,,,,,,,,"3","https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472","true",,,,,"false",,"2","https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472","hồi đó bào ngư nhưng bây giờ em làm kali","7382030837854077958","anhtelamha2013","https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472"
"https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/c7e89e0257193a7efe421cdfd7c4085d~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=86fcd802&x-expires=1768554000&x-signature=N0zqpBCQWLuSNI9TpHxyJBUCOtE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7548976491455922958","1757633080","2025-09-11T23:24:40.000Z",,,,,,,,,,,,,,,,,"1","https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472","true",,,,,"false",,"0","https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472","Dễ thương 💕💕","7013611179558945797","tamle0225","https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/66a5128b7d251cd1c6d1c1870f06e836~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=0180b16c&x-expires=1768554000&x-signature=%2BbiVegxABvtajYulkNtJiq4niNk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7547516844769477384","1757293214","2025-09-08T01:00:14.000Z",,,,,,,,,,,,,,,,,"2","https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472","true",,,,,"false",,"2","https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472","Sớm pà ưi","7354565738139796496","phgthaoh6803","https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/cc3fe71875108801cfcf33cbee4aabd2~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c45ccd31&x-expires=1768554000&x-signature=ZH0ZE3uMwwC13ytcljhxvy50FI0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7547568252466479873","1757305182","2025-09-08T04:19:42.000Z",,,,,,,,,,,,,,,,,"3","https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472","true",,,,,"false",,"1","https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472","Haha 😂","6866756053213791233","nkthanh63","https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/3071d44b4c85fa429c1f4cd1455ce15f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=13704f90&x-expires=1768554000&x-signature=i0LhZcxPqitkiFgptugFhtOz4nQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7547568251070251797","1757305183","2025-09-08T04:19:43.000Z",,,,,,,,,,,,,,,,,"14","https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472","true",,,,,"false",,"1","https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472","gặp lại idol hồi bé của mình 🥰🥵","7260498042150913029","tkhgntkcdk_4444","https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472"
"https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/63b58373e38c8718039b184da715c236~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=18cab397&x-expires=1768554000&x-signature=Y6laywoirsDwOtuzTfO9htBglM4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7547598066196595487","1757312171","2025-09-08T06:16:11.000Z",,,,,,,,,,,,,,,,,"1","https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472","true",,,,,"false",,"1","https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472","Bik dị hồi đó khỏi ước 🤡","7363896818528404511","dolphin_r","https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/ded97e3fcbe79a1909fc8e1060405439~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=e567cc50&x-expires=1768554000&x-signature=tpJtp6OZVS7IVPp7BlVMX2G%2Fr78%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7547658391070688008","1757326166","2025-09-08T10:09:26.000Z",,,,,,,,,,,,,,,,,"1","https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472","true",,,,,"false",,"0","https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472","tuổi thơ của em ơi 🥰","7294910390562587654","thuy.1.8","https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472"
